Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year,Genre
1995,Martin Page,In The House Of Stone And Light,14,1995-01-04,Pop
1995,Ace of Base,Beautiful Life,15,1995-11-08,Pop
1995,Ace of Base,Beautiful Life,15,1995-11-08,Pop
1995,Ace of Base,Beautiful Life,15,1995-11-08,Pop
1995,Ace of Base,Beautiful Life,15,1995-11-08,Pop
1992,Jon Secada,Just Another Day,5,1992-04-15,Unknown
1995,Joan Osborne,One Of Us,15,1995-12-06,Alternative
1995,Joan Osborne,One Of Us,15,1995-12-06,Alternative
1995,Joan Osborne,One Of Us,15,1995-12-06,Alternative
1998,"""Master P Feat. Fiend, Silkk the Shocker, Mia X & Mystikal""",Make Em' Say Uhh!,16,1998-01-28,Unknown
1995,Joan Osborne,One Of Us,15,1995-12-06,Alternative
2002,"""Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita""",Down 4 U,6,2002-06-19,Unknown
1995,Madonna,Secret,15,1995-01-04,Pop
1995,Madonna,Secret,15,1995-01-04,Pop
1995,Madonna,Secret,15,1995-01-04,Pop
1995,Madonna,Secret,15,1995-01-04,Pop
1995,Subway (Featuring 702),This Lil' Game We Play,15,1995-02-01,R&B/Soul
1995,Immature,Constantly,16,1995-01-04,R&B/Soul
1995,Jamie Walters,Hold On,16,1995-01-25,Unknown
1995,Melissa Etheridge,Like The Way I Do/If I Wanted To,16,1995-02-15,Rock
1995,U2,"""Hold Me, Thrill Me, Kiss Me, Kill Me""",16,1995-06-21,Rock
1995,K-Ci Hailey,If You Think You're Lonely Now,17,1995-02-15,R&B/Soul
1995,Naughty by Nature,Feel Me Flow,17,1995-06-07,Hip-Hop/Rap
1995,Sheryl Crow,All I Wanna Do,17,1995-01-04,Rock
1995,Sheryl Crow,All I Wanna Do,17,1995-01-04,Rock
1995,Sheryl Crow,All I Wanna Do,17,1995-01-04,Rock
1995,Sheryl Crow,All I Wanna Do,17,1995-01-04,Rock